id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;Xn;Yn;Zn;rarad;decrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max
16108;16147;21278;1034;;;;3.467517;49.062866;160.7717;21.94;-26.83;2;4.99;-1.041;B5V;-0.091;64.836812;83.02553;121.451613;0.403284981;0.51641881;0.755429053;0.907793951;0.856308556;;;Per;1;16108;;227.1956438;;;
16187;16228;21291;1035;;;;3.484482;59.94033;595.2381;-0.82;-1.85;-7;4.21;-4.663;B9Ia;0.419;182.465205;235.803468;515.18103;0.306541542;0.396149823;0.865504123;0.91223516;1.046156114;;;Cam;1;16187;;6385.574851;CS;4.242;4.182
16203;16244;21428;1044;;34    Per;;3.489456;49.508948;165.2893;22.16;-29.18;-2;4.67;-1.421;B3V;-0.096;65.571385;84.96773;125.70372;0.396706774;0.51405463;0.760507304;0.913537561;0.864094155;;34;Per;1;16203;;322.4036872;;;
16204;16245;22001;1083;Gl 143.2A;Kap Ret;;3.489558;-62.937527;21.6826;383.05;373.11;12;4.71;3.029;F5IV-V;0.41;6.026531;7.809946;-19.30869;0.277943189;0.360194165;-0.890515436;0.913564224;-1.098467076;Kap;;Ret;1;16204;Gl 143.2;5.350569382;;;
16241;16281;21389;1040;;;;3.49854;58.87875;769.2308;-1.94;-1.14;-6;4.55;-4.88;A0Ia SB:;0.489;242.150448;315.326967;658.519557;0.31479557;0.409925041;0.85607539;0.915915691;1.02762804;;;Cam;1;16241;;7798.301105;CE;4.569;4.529
16294;16335;21552;1052;;35Sig Per;;3.509579;47.995216;110.2536;1.56;18.13;16;4.36;-0.852;K3III;1.367;44.768095;58.646849;81.928338;0.40604656;0.53192684;0.743089913;0.918805538;0.837674544;Sig;35;Per;1;16294;;190.8973941;;;
16300;16341;21790;1070;;17    Eri;;3.510294;-5.075145;123.9157;13.31;7.34;15;4.74;-0.726;B9Vs;-0.092;74.875272;98.125761;-10.961868;0.604243627;0.79187513;-0.088462301;0.918992763;-0.088577998;;17;Eri;1;16300;;169.9808513;;;
16328;16369;21754;1066;;5    Tau;;3.514549;12.936678;104.9318;18.94;-1.55;15;4.14;-0.965;K0II-III...;1.112;61.947656;81.371655;23.491538;0.59036113;0.77547183;0.223874345;0.920106892;0.225787626;;5;Tau;1;16328;;211.8361135;;;
16496;16537;22049;1084;Gl 144;18Eps Eri;;3.548848;-9.458262;3.2161;-976.44;17.97;16.9;3.72;6.183;K2V;0.881;1.89897;2.541426;-0.528523;0.590457386;0.790219831;-0.164336619;0.929086175;-0.165077816;Eps;18;Eri;1;16496;;0.292954383;Eps;3.735;3.715
16570;16611;22203;1088;;19Tau5Eri;;3.563132;-21.632883;89.9281;44.91;-27.47;14;4.26;-0.509;B9V;-0.106;49.785855;67.151682;-33.152769;0.553618446;0.746726351;-0.368658617;0.932825695;-0.377565029;Tau-5;19;Eri;1;16570;;139.1874249;;;
16785;16826;22192;1087;;37Psi Per;;3.608159;48.192634;178.8909;21.41;-27.58;-1;4.32;-1.943;B5Ve;-0.058;69.8893;96.627834;133.343535;0.390681136;0.540149521;0.745390263;0.944613828;0.841120131;Psi;37;Per;1;16785;;521.4347854;Psi;4.378;4.268
16811;16852;22484;1101;Gl 147;10    Tau;;3.614551;0.401662;13.9626;-232.69;-482;27.9;4.29;3.565;F9V;0.575;8.163865;11.327087;0.097883;0.584695186;0.811244825;0.007010371;0.946287207;0.007010317;;10;Tau;1;16811;;3.265878322;;;
16829;16870;22663;1106;;;;3.618244;-40.274545;70.7714;2.77;-14.23;12;4.57;0.321;K0III;1.023;31.528759;43.834385;-45.750304;0.445501417;0.619379933;-0.646451872;0.94725416;-0.70292342;;;Eri;1;16829;;64.80372942;;;
17262;17304;23227;1134;;Del For;;3.704139;-31.938361;259.7403;5.16;14.23;26;4.99;-2.083;B5III;-0.159;124.650555;181.78943;-137.404463;0.479904562;0.699889197;-0.529007101;0.969741448;-0.557429561;Del;;For;1;17262;;593.1984397;;;
17271;17313;22951;1123;;40    Per;;3.706291;33.965026;323.6246;4.39;-5.21;20;4.97;-2.58;B0.5V;-0.048;151.663187;221.451739;180.804876;0.468639241;0.684285864;0.558687059;0.970304603;0.592801539;;40;Per;1;17271;;937.5620069;;;
17309;17351;23319;1143;;;;3.713908;-37.313518;56.4972;-90.81;-71.42;10;4.59;0.83;K2IIICN...;1.191;25.31594;37.123698;-34.247304;0.448091941;0.657089165;-0.606177014;0.972298859;-0.651243751;;;Eri;1;17309;;40.55085354;;;
