CON;NAME;X;Y;Z
ORI;pi^2;0.2945489321404552;0.9430300222930269;0.15471038629946826
ORI;pi^3;0.2991158891215458;0.9465135633809599;0.12100313719447373
ORI;pi^4;0.29422764242552285;0.950740591385113;0.09758289975914945
ORI;pi^5;0.2827105217964311;0.9582522679133314;0.04274753682432231
ORI;pi^6;0.2648062397054039;0.9638361886456169;0.029957584518360083
ORI;gamma;0.1506185494011442;0.9823855274530582;0.11060166376267433
ORI;delta;0.12179552239642451;0.992541402364122;-0.005235963831419415
ORI;eta;0.15421751407822984;0.9871614320352311;-0.04158443763817019
ORI;tau;0.18263835481181834;0.9759189471213557;-0.1192704489853915
ORI;beta;0.1950720926987729;0.9703627496561017;-0.14262893370551158
ORI;kappa;0.0525951290062835;0.9843971825418822;-0.16791646556671214
ORI;zeta;0.08377435073723288;0.995903608576833;-0.034027350502167486
ORI;alpha;0.02091231010057785;0.9914506390075539;0.12879559657756282
ORI;lambda;0.10666509601969626;0.9792169071922625;0.1725016114705277
ORI;gamma;0.1506185494011442;0.9823855274530582;0.11060166376267433
ORI;;;;
ORI;zeta;0.08377435073723288;0.995903608576833;-0.034027350502167486
ORI;epsilon;0.10363789180643572;0.994394590910141;-0.020942419883356926
ORI;delta;0.12179552239642451;0.992541402364122;-0.005235963831419415
ORI;;;;
ORI;alpha;0.02091231010057785;0.9914506390075539;0.12879559657756282
ORI;mu;-0.010251863224179104;0.9857968224193298;0.16762912696898857
ORI;nu;-0.03198986536907738;0.9664423913835624;0.25488380225210394
ORI;chi^1;0.022987764257218886;0.9378087151931002;0.34639049698616325
ORI;;;;
ORI;mu;-0.010251863224179104;0.9857968224193298;0.16762912696898857
ORI;xi;-0.05045153829909579;0.9680600310998111;0.24558993967646048
ORI;chi^2;-0.016044679889421952;0.9387572572819354;0.3442054330595963
ORI;;;;
GEM;alpha;-0.3406256076058428;0.7778101363442216;0.5281908625140479
GEM;rho;-0.3222693404481429;0.7865882640265629;0.5267080549059385
GEM;tau;-0.2638909421451294;0.8225407896909973;0.5037739770455263
GEM;epsilon;-0.1724850329907032;0.8887390082300687;0.4247256628041562
GEM;mu;-0.0924168924487032;0.9191334767703911;0.3829526992594487
GEM;eta;-0.05988831538420502;0.9219364296271819;0.38268343236508984
GEM;;;;
GEM;epsilon;-0.1724850329907032;0.8887390082300687;0.4247256628041562
GEM;nu;-0.1182888062721451;0.9309070522321694;0.3455717268746446
GEM;;;;
GEM;kappa;-0.4008237532765115;0.8177316484450571;0.41310442982454193
GEM;upsilon;-0.36248975593336336;0.8148030502233858;0.45243470931178265
GEM;iota;-0.32324217874463534;0.8234063368670964;0.46638664033989125
GEM;tau;-0.2638909421451294;0.8225407896909973;0.5037739770455263
GEM;theta;-0.18932686620279066;0.8074635484469567;0.5587109768594847
GEM;;;;
GEM;beta;-0.3915508714375304;0.7912285888101935;0.4697288955620467
GEM;upsilon;-0.36248975593336336;0.8148030502233858;0.45243470931178265
GEM;delta;-0.3175964698405788;0.8712088116268129;0.37433633124317367
GEM;zeta;-0.2585273829447887;0.8998631113994585;0.35129755622577885
GEM;gamma;-0.15716261570951806;0.94635258438448;0.2823414568428765
GEM;;;;
GEM;delta;-0.3175964698405788;0.8712088116268129;0.37433633124317367
GEM;lambda;-0.32039979702696747;0.9035277690965171;0.28457255759568395
GEM;xi;-0.19141775420065663;0.9557816848411952;0.2232501160109514
GEM;;;;
CNC;iota;-0.5828462756278837;0.6547473972729906;0.4812442880190367
CNC;gamma;-0.6083492281142858;0.7042614529584585;0.3659604111507054
CNC;delta;-0.6255517889141173;0.7152965123014409;0.31150579268408823
CNC;beta;-0.5538431642684255;0.8171265233826314;0.15988118769183493
CNC;8;-0.5054804705753663;0.8324601592753079;0.2269351825659367
CNC;gamma;-0.6083492281142858;0.7042614529584585;0.3659604111507054
CNC;;;;
CNC;delta;-0.6255517889141173;0.7152965123014409;0.31150579268408823
CNC;alpha;-0.6874003855801212;0.6965592387430978;0.2056354464238516
CNC;;;;
CMI;alpha;-0.41809802139708;0.9038111146343234;0.09121136753337765
CMI;beta;-0.36729320064242177;0.9188798507747504;0.144067777806205
CMI;;;;
CMA;iota;-0.2318962620172896;0.9274989439205069;-0.2932061266221303
CMA;theta;-0.22913126558678035;0.9507449456858142;-0.2087652063526836
CMA;gamma;-0.2644305168771724;0.9259898857111524;-0.2694795600870661
CMA;iota;-0.2318962620172896;0.9274989439205069;-0.2932061266221303
CMA;alpha;-0.18746030476495915;0.9392135253715349;-0.2876396841477232
CMA;nu^3;-0.15635195179712014;0.9368328571123792;-0.3128869843951448
CMA;nu;-0.15046767102117278;0.9320212220779477;-0.3296906452627872
CMA;beta;-0.09407230921256346;0.9466632035007561;-0.30818692343625154
CMA;;;;
CMA;alpha;-0.18746030476495915;0.9392135253715349;-0.2876396841477232
CMA;omicron^2;-0.24842150486300946;0.8803456910514672;-0.4040769978218415
CMA;delta;-0.2633753772951962;0.8561150437095475;-0.4446351791849276
CMA;epsilon;-0.22139763442123747;0.8464250832100165;-0.48430121410708504
CMA;omicron;-0.21344611281720222;0.8867941493093799;-0.4099230338415728
CMA;nu;-0.15046767102117278;0.9320212220779477;-0.3296906452627872
CMA;xi;-0.127115786638004;0.9087918348738014;-0.3974153716882508
CMA;;;;
CMA;delta;-0.2633753772951962;0.8561150437095475;-0.4446351791849276
CMA;omega;-0.2862586499410565;0.8457145074093683;-0.45035869847406446
CMA;eta;-0.31281771216757814;0.8140331042866318;-0.4893824517488463
CMA;;;;
