
811,813,560,26,,34    Psc,,0.167278,11.145813,93.6330,29.73,1.64,14.0,5.540,0.683,B9V,-0.064,91.778975,4.021883,18.099895,0.9801977189258403,0.04295363445044592,0.19330653662014882,,34,Psc,1,811,,46.43014072818033,
812,814,636,30,,Gam3Oct,,0.167293,-82.224047,78.0640,-21.66,-20.39,15.0,5.290,0.828,K1/K2III,1.049,10.551931,0.462380,-77.346312,0.13517002564674255,0.005923078577612081,-0.9908047140112033,Gam-3,,Oct,1,812,,40.625619818684335,
838,840,587,29,,,,0.171908,-5.248588,58.3090,34.98,-29.01,24.0,5.840,2.011,K1III,0.973,58.005940,2.612349,-5.333956,0.9947988531643335,0.04480164943909181,-0.09147706789389182,,,Psc,1,838,,13.66469680740465,
871,873,645,31,,,,0.178565,-12.579897,75.0188,149.39,-38.22,6.0,5.840,1.464,K0III,1.000,73.137904,3.421562,-16.339167,0.9749269687555386,0.04560936103759739,-0.21780080757168715,,,Cet,1,871,,22.615177461083626,
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.0480,4.70,-8.24,4.0,2.830,-2.567,B2IV,-0.190,115.664183,6.687324,31.442127,0.9634825118187551,0.0557054012551651,0.2619128818718609,Gam,88,Peg,1,1065,,926.4031007363994,Gam
1470,1473,1404,68,,25Sig And,,0.305463,36.785224,41.3223,-66.51,-42.48,-8.0,4.510,1.429,A2V,0.054,32.988623,2.643715,24.744457,0.7983263152423914,0.06397803432113668,0.5988170885303034,Sig,25,And,1,1470,,23.356082466252186,
1559,1562,1522,74,,8Iot Cet,,0.323799,-8.823921,84.1751,-14.37,-37.84,19.0,3.560,-1.066,K2III,1.214,82.880324,7.042663,-12.912353,0.9846160762527765,0.08366665180303358,-0.1533984151178121,Iot,8,Cet,1,1559,,232.4877101501645,
1595,1599,1581,77,Gl 17,Zet Tuc,,0.334142,-64.874791,8.5866,1707.56,1165.36,9.0,4.230,4.561,F9V,0.576,3.631914,0.318885,-7.774227,0.42297063972757926,0.03713716581657195,-0.9053820568376396,Zet,,Tuc,1,1595,,1.3049684141302225,
2016,2021,2151,98,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2220.12,324.37,22.9,2.820,3.457,G2IV,0.618,1.635267,0.184517,-7.275205,0.21923393881015138,0.02473748243402007,-0.9753586709701274,Bet,,Hyi,1,2016,,3.6074473386419155,
2069,2072,2262,100,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.930,2.046,A7V,0.175,17.106924,1.964466,-16.443574,0.7184884776963592,0.08250730440061907,-0.6906278680578363,Kap,,Phe,1,2069,,13.231223331133709,
